Carina            0.21414089 17.5484 17.6221 17.7030 17.7980 17.9514 17.3020 17.3737 17.4488 17.5284 17.5971 2.305e-01 3.855e-01 6.489e-01 8.398e-01 9.450e-01 8.470e-02 1.067e-01 1.952e-01 3.053e-01 4.425e-01 
Carina            0.23987488 17.5880 17.6588 17.7342 17.8201 17.9582 17.3502 17.4324 17.5175 17.6054 17.6791 2.610e-01 4.219e-01 6.954e-01 8.717e-01 9.584e-01 1.025e-01 1.277e-01 2.287e-01 3.495e-01 4.974e-01 
Carina            0.26870141 17.6221 17.6911 17.7629 17.8422 17.9665 17.3941 17.4884 17.5836 17.6817 17.7601 2.933e-01 4.591e-01 7.396e-01 8.985e-01 9.695e-01 1.236e-01 1.523e-01 2.666e-01 3.976e-01 5.549e-01 
Carina            0.30099211 17.6500 17.7178 17.7890 17.8649 17.9752 17.4360 17.5413 17.6475 17.7568 17.8408 3.285e-01 4.985e-01 7.810e-01 9.222e-01 9.786e-01 1.487e-01 1.811e-01 3.089e-01 4.492e-01 6.151e-01 
Carina            0.33716329 17.6708 17.7396 17.8120 17.8884 17.9909 17.4747 17.5905 17.7086 17.8304 17.9205 3.688e-01 5.399e-01 8.194e-01 9.421e-01 9.856e-01 1.788e-01 2.150e-01 3.554e-01 5.038e-01 6.751e-01 
Carina            0.37768127 17.6861 17.7583 17.8326 17.9116 18.0101 17.5097 17.6361 17.7676 17.9027 17.9978 4.125e-01 5.812e-01 8.547e-01 9.582e-01 9.905e-01 2.143e-01 2.544e-01 4.065e-01 5.592e-01 7.304e-01 
Carina            0.42306843 17.6988 17.7725 17.8512 17.9354 18.0361 17.5412 17.6770 17.8226 17.9731 18.0756 4.602e-01 6.245e-01 8.861e-01 9.708e-01 9.941e-01 2.561e-01 3.000e-01 4.620e-01 6.164e-01 7.836e-01 
Carina            0.47390991 17.7066 17.7829 17.8666 17.9592 18.0663 17.5700 17.7167 17.8750 18.0414 18.1505 5.128e-01 6.694e-01 9.134e-01 9.803e-01 9.964e-01 3.050e-01 3.526e-01 5.210e-01 6.739e-01 8.299e-01 
Carina            0.53086117 17.7125 17.7905 17.8803 17.9814 18.0988 17.5942 17.7526 17.9238 18.1073 18.2244 5.669e-01 7.154e-01 9.355e-01 9.872e-01 9.980e-01 3.622e-01 4.124e-01 5.834e-01 7.301e-01 8.709e-01 
Carina            0.59465645 17.7169 17.7959 17.8915 18.0032 18.1322 17.6159 17.7839 17.9687 18.1715 18.2953 6.238e-01 7.615e-01 9.540e-01 9.922e-01 9.990e-01 4.277e-01 4.796e-01 6.476e-01 7.836e-01 9.060e-01 
Carina            0.66611821 17.7193 17.8005 17.8995 18.0241 18.1659 17.6357 17.8119 18.0107 18.2337 18.3636 6.852e-01 8.072e-01 9.688e-01 9.954e-01 9.995e-01 5.026e-01 5.543e-01 7.127e-01 8.325e-01 9.358e-01 
Carina            0.74616775 17.7204 17.8032 17.9056 18.0431 18.1965 17.6511 17.8347 18.0482 18.2936 18.4294 7.488e-01 8.517e-01 9.798e-01 9.974e-01 9.998e-01 5.873e-01 6.364e-01 7.775e-01 8.776e-01 9.586e-01 
Carina            0.83583710 17.7213 17.8051 17.9101 18.0621 18.2277 17.6652 17.8552 18.0805 18.3494 18.4916 8.133e-01 8.949e-01 9.878e-01 9.987e-01 9.999e-01 6.803e-01 7.236e-01 8.400e-01 9.172e-01 9.750e-01 
Carina            0.93628230 17.7219 17.8064 17.9131 18.0785 18.2567 17.6759 17.8727 18.1081 18.4005 18.5502 8.766e-01 9.340e-01 9.935e-01 9.994e-01 1.000e+00 7.794e-01 8.136e-01 8.981e-01 9.505e-01 9.865e-01 
Carina            1.04879832 17.7223 17.8075 17.9154 18.0914 18.2822 17.6828 17.8863 18.1311 18.4457 18.6006 9.356e-01 9.673e-01 9.973e-01 9.998e-01 1.000e+00 8.796e-01 9.007e-01 9.490e-01 9.768e-01 9.943e-01 
Carina            1.17483576 17.7225 17.8082 17.9168 18.1012 18.3029 17.6893 17.8955 18.1480 18.4813 18.6403 9.838e-01 9.923e-01 9.994e-01 1.000e+00 1.000e+00 9.681e-01 9.744e-01 9.877e-01 9.947e-01 9.989e-01 
Carina            1.31601950 17.7226 17.8083 17.9172 18.1051 18.3092 17.6908 17.8986 18.1533 18.4931 18.6533 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Carina            1.47416975 17.7226 17.8083 17.9172 18.1051 18.3092 17.6908 17.8986 18.1533 18.4931 18.6533 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Carina            1.65132542 17.7226 17.8083 17.9172 18.1051 18.3092 17.6908 17.8986 18.1533 18.4931 18.6533 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
